"quad","year","totCover"
"q21",34,55.791925
"q23",34,13.26592
"q24",34,26.532513
"q25",34,67.21196
"q27",34,348.829875
"q28",34,6175.24
"q32",34,152.31422
"q21",35,90.0217443
"q24",35,21.238358
"q25",35,297.272356
"q27",35,1352.020474
"q28",35,2957.036235
"q30",35,499.497469
"q31",35,72.53103
"q32",35,699.064207
"q25",36,500.391547
"q27",36,1698.817835
"q30",36,325.579273
"q31",36,35.948166
"q32",36,342.067355
"q21",37,109.200269
"q24",37,12.36609
"q25",37,646.4505947
"q27",37,1563.3856685
"q28",37,889.864874
"q30",37,219.059242
"q31",37,14.14762
"q32",37,236.757226
"q21",38,90.09311
"q24",38,32.970823
"q25",38,392.394242
"q27",38,973.080001
"q28",38,494.3854895
"q30",38,150.141073
"q31",38,24.71393
"q32",38,157.599957
"q25",39,154.943556
"q27",39,522.001353
"q28",39,320.193762
"q30",39,40.6864259
"q31",39,10.144999
"q32",39,131.0637343
"q24",40,1.4724265
"q25",40,4.574088
"q27",40,258.155692
"q28",40,38.908573
"q30",40,49.7299091
"q32",40,50.4563865
"q27",41,7.3406942
"q30",41,387.568752
"q32",41,304.1200008
"q25",42,291.34744
"q27",42,11.55061
"q28",42,10.791296
"q30",42,412.28314
"q32",42,264.089643
"q25",43,133.92347
"q27",43,831.12806
"q28",43,87.4885541
"q30",43,463.67903
"q32",43,611.299837
"q25",44,239.96469
"q27",44,1453.02176
"q28",44,454.86586
"q30",44,598.767214
"q32",44,731.844835
"q25",45,167.49256
"q27",45,5408.919117
"q28",45,421.207443
"q30",45,2116.925024
"q32",45,691.108594
"q25",46,330.189523
"q27",46,6864.2653
"q28",46,920.46117
"q30",46,1406.09159
"q32",46,1745.649334
"q21",47,26.67895
"q25",47,662.19099
"q27",47,2035.327384
"q28",47,1349.94178
"q30",47,1833.220144
"q32",47,1148.543349
"q21",48,45.09977
"q25",48,460.26124
"q27",48,3396.73817
"q28",48,1598.340418
"q30",48,1585.864787
"q31",48,38.93749
"q32",48,1201.643506
"q21",49,41.303062
"q25",49,237.399215
"q27",49,826.020282
"q28",49,1456.191465
"q30",49,689.12061
"q31",49,8.955126
"q32",49,632.428415
"q21",50,71.803586
"q25",50,320.938931
"q27",50,1161.6928363
"q28",50,1705.05531
"q30",50,958.2057003
"q31",50,6.517639
"q32",50,1809.618727
"q21",51,20.897747
"q25",51,401.600205
"q27",51,1711.27969
"q28",51,1833.974563
"q30",51,629.684676
"q31",51,43.810399
"q32",51,1123.750612
"q21",52,38.055835
"q25",52,367.198034
"q27",52,7248.230162
"q28",52,2407.393931
"q30",52,1041.646752
"q31",52,613.34697
"q32",52,1279.503183
"q21",53,56.737682
"q25",53,886.578813
"q27",53,3098.122296
"q28",53,2807.456924
"q30",53,674.25238
"q31",53,151.287136
"q32",53,1846.293764
"q21",54,92.88879
"q25",54,1284.408948
"q27",54,1772.595603
"q28",54,2610.846776
"q30",54,831.6601
"q31",54,141.87168
"q32",54,2777.972303
"q21",55,96.8951905
"q25",55,1871.564096
"q27",55,3945.108608
"q28",55,3503.824464
"q30",55,628.585249
"q31",55,208.822
"q32",55,1900.9202283
"q21",56,26.110021
"q25",56,938.790709
"q27",56,2238.841064
"q28",56,2447.122697
"q30",56,269.350565
"q31",56,86.12809
"q32",56,1094.921631
"q21",57,265.87728
"q25",57,1582.165895
"q27",57,4444.292078
"q28",57,3533.552712
"q30",57,650.054556
"q31",57,66.1056433
"q32",57,3188.409825
"q21",58,138.062211
"q23",58,7.744865
"q25",58,3110.25247
"q27",58,2402.074759
"q28",58,3407.701042
"q30",58,635.907334
"q31",58,507.20326
"q32",58,570.261188
"q21",59,506.86666
"q23",59,58.52985
"q25",59,1167.517719
"q27",59,1909.49667
"q28",59,4433.700335
"q30",59,560.5724168
"q31",59,1423.1251093
"q32",59,2389.336072
"q21",60,90.719348
"q23",60,29.68004
"q25",60,2254.457836
"q27",60,3867.7305752
"q28",60,2633.76391
"q30",60,556.17474
"q31",60,482.21211
"q32",60,2299.345817
"q21",61,461.324001
"q23",61,76.327881
"q25",61,4136.049992
"q27",61,3740.9719115
"q28",61,4548.699247
"q30",61,925.949103
"q31",61,1235.702923
"q32",61,3688.082725
"q21",62,457.108459
"q23",62,144.12906
"q25",62,2144.759289
"q27",62,845.6834568
"q28",62,1442.995068
"q30",62,116.6984688
"q31",62,1373.3388687
"q32",62,1998.122437
"q21",63,153.6626175
"q25",63,2238.78992
"q27",63,1867.7723671
"q28",63,759.943506
"q30",63,743.307896
"q31",63,2492.6877566
"q32",63,6869.962475
"q21",64,405.5252089
"q25",64,2618.89647
"q27",64,2776.150918
"q28",64,2137.368086
"q30",64,323.76596
"q31",64,1367.280094
"q32",64,1625.084455
"q21",65,950.487772
"q23",65,189.3165
"q24",65,7.348566
"q25",65,6067.40423
"q27",65,4972.080203
"q28",65,4456.27089
"q30",65,116.59754
"q31",65,2022.755713
"q32",65,3699.704974
"q21",66,482.6895502
"q23",66,7.5987288
"q25",66,2060.6409195
"q27",66,5441.496696
"q28",66,3667.5999441
"q30",66,81.471285
"q31",66,1298.4667421
"q32",66,1366.3027196
"q21",67,790.29161
"q23",67,40.46197
"q24",67,7.739676
"q25",67,1589.47415
"q27",67,2463.38085
"q28",67,1623.905236
"q31",67,2504.75971
"q32",67,1967.597335
"q21",68,950.650427
"q23",68,13.12093
"q25",68,3902.3389284
"q27",68,2807.7023804
"q28",68,6855.7206
"q31",68,2280.444952
"q32",68,2919.530601
"q30",69,949.79816
"q31",69,7404.0044
"q32",69,5488.18699
"q21",70,712.517568
"q25",70,1965.082574
"q27",70,3815.217778
"q28",70,3958.4326
"q30",70,1395.85169
"q31",70,3689.90851
"q32",70,7526.626
"q25",71,4185.264099
"q27",71,6936.3976
"q28",71,5344.0729
"q30",71,69.089644
"q31",71,545.114772
"q32",71,1285.969079
"q21",72,757.9885925
"q23",72,8.6268591
"q24",72,4.8624974
"q25",72,6970.594
"q27",72,3024.5249599
"q28",72,4126.4593855
"q30",72,1900.83228
"q31",72,7240.1743162
"q32",72,7418.685
